metrica,modo,n,media,std,min,max,mediana
Tiempo real (s),sin_ml,10,31.0487,0.013,31.0386,31.078,31.0444
Tiempo real (s),con_ml,10,31.0444,0.0072,31.0363,31.06,31.0449
Tiempo CPU (s),sin_ml,10,0.0421,0.0087,0.0367,0.0642,0.0382
Tiempo CPU (s),con_ml,10,0.0378,0.0084,0.0329,0.0612,0.0354
CPU promedio (%),sin_ml,10,95.0,1.5774,93.47,96.54,95.0
CPU promedio (%),con_ml,10,94.946,1.5629,93.39,96.47,94.94
Memoria promedio (%),sin_ml,10,11.452,0.2108,11.14,11.78,11.415
Memoria promedio (%),con_ml,10,12.869,0.3408,12.31,13.38,12.88
